CustomerID,Age,Gender,Tenure_Months,Monthly_Charges,Total_Charges,Contract,Payment_Method,Internet_Service,Online_Security,Tech_Support,Num_Complaints,Satisfaction_Score,Num_Products,Warehouse_To_Home_KM,Days_Since_Last_Order,Cashback_Amount,Coupons_Used,Marital_Status,Preferred_Device,Churn
CUST-00001,48.0,Male,35,101.94,3559.24,Two Year,Mailed Check,Fiber Optic,No,Yes,1,3.0,2,28.3,109.0,37.21,1,Married,Tablet,No
CUST-00002,40.0,Male,72,104.58,7529.36,Two Year,Bank Transfer,Fiber Optic,Yes,Yes,1,,2,19.3,23.0,276.27,3,Single,Desktop,No
CUST-00003,51.0,Male,17,70.23,1192.51,Month-to-Month,Bank Transfer,DSL,No Internet,Yes,1,2.0,1,21.1,2.0,9.13,0,Single,Mobile,Yes
CUST-00004,63.0,Female,15,110.73,1665.38,Two Year,Mailed Check,DSL,Yes,No Internet,1,4.0,5,13.8,97.0,140.97,2,Married,Desktop,No
CUST-00005,38.0,Male,33,24.47,765.78,Month-to-Month,Credit Card,Fiber Optic,Yes,No,1,3.0,4,18.1,69.0,61.45,2,Married,Mobile,No
CUST-00006,38.0,Female,50,29.32,1429.65,Month-to-Month,Credit Card,Fiber Optic,Yes,Yes,0,1.0,3,3.0,49.0,44.19,4,Married,Tablet,No
CUST-00007,64.0,Male,72,77.68,5555.6,Month-to-Month,Electronic Check,None,No,No,3,5.0,3,12.1,47.0,105.78,3,Single,Desktop,Yes
CUST-00008,52.0,Male,9,53.41,,Month-to-Month,Bank Transfer,Fiber Optic,,Yes,2,4.0,4,12.7,19.0,94.83,1,Single,Mobile,No
CUST-00009,35.0,Male,38,64.42,2465.05,Month-to-Month,Electronic Check,Fiber Optic,Yes,No,3,4.0,5,14.9,62.0,138.53,1,Married,Tablet,No
CUST-00010,49.0,Male,5,50.81,298.78,Month-to-Month,Credit Card,Fiber Optic,Yes,No,1,4.0,2,22.7,10.0,147.94,0,Divorced,Mobile,No
CUST-00011,35.0,Female,18,58.47,1092.28,Month-to-Month,Bank Transfer,Fiber Optic,No,Yes,1,2.0,2,43.2,13.0,151.31,3,Single,Desktop,No
CUST-00012,35.0,Male,4,100.26,387.92,One Year,Credit Card,None,No,No,1,2.0,3,18.7,7.0,39.57,1,Married,Desktop,No
CUST-00013,,Female,10,77.35,732.95,Month-to-Month,Electronic Check,DSL,No Internet,No,4,3.0,3,38.4,15.0,51.22,1,Married,Desktop,Yes
CUST-00014,,Female,64,117.73,7571.94,Month-to-Month,Credit Card,Fiber Optic,No,Yes,0,5.0,4,12.0,7.0,97.25,1,Single,Mobile,No
CUST-00015,18.0,Female,3,96.69,,Month-to-Month,Bank Transfer,Fiber Optic,No,No Internet,1,4.0,2,5.1,12.0,24.24,1,Married,Mobile,Yes
CUST-00016,34.0,Female,24,45.37,1099.75,Month-to-Month,Electronic Check,Fiber Optic,No,Yes,1,3.0,2,16.1,35.0,249.99,0,Married,Tablet,Yes
CUST-00017,27.0,Female,21,44.43,1020.25,Month-to-Month,Mailed Check,Fiber Optic,No,No,2,3.0,3,59.4,16.0,29.31,0,Single,Mobile,Yes
CUST-00018,46.0,Male,3,51.59,153.45,Month-to-Month,Electronic Check,DSL,No,No Internet,1,5.0,1,18.6,43.0,68.5,4,Single,Mobile,No
CUST-00019,29.0,Female,9,102.33,908.13,One Year,Bank Transfer,DSL,Yes,Yes,1,2.0,1,52.1,19.0,191.18,1,Married,Tablet,No
CUST-00020,22.0,Male,19,20.73,,Month-to-Month,Electronic Check,DSL,No,No,0,3.0,1,1.0,4.0,279.09,2,Single,Desktop,No
CUST-00021,62.0,Male,4,41.02,86.04,Two Year,Electronic Check,None,No,No,1,3.0,1,4.5,40.0,40.41,2,Married,Desktop,No
CUST-00022,38.0,Male,38,108.49,4155.69,Month-to-Month,Mailed Check,None,Yes,No,2,5.0,1,4.8,2.0,131.72,2,Married,Desktop,No
CUST-00023,42.0,Female,72,81.99,,Month-to-Month,Mailed Check,DSL,No,Yes,0,4.0,3,8.3,85.0,89.13,1,Single,Mobile,Yes
CUST-00024,22.0,Female,5,40.68,228.9,Month-to-Month,Mailed Check,DSL,No,No,0,4.0,2,1.0,55.0,144.03,1,Divorced,Desktop,Yes
